data_status,snapshot_date,region_code,region_type,service_cohort,eligible_estimate_n,outreach_n,booked_n,completed_n,abnormal_n,followup_completed_n,missing_pct,denominator_note,version
教學合成資料,2026-07-05,示範區A,都會型服務區（虛構）,肺癌_擴大資格,7402,5846,3206,2883,231,203,0.7,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區A,都會型服務區（虛構）,大腸癌_45至49歲,4934,3936,2174,1942,117,103,0.8,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區A,都會型服務區（虛構）,大腸癌_40至44歲家族史,1645,1326,738,655,43,38,0.9,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區A,都會型服務區（虛構）,乳癌_擴大年齡,5654,4600,2578,2272,159,140,0.9,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區A,都會型服務區（虛構）,子宮頸抹片_25至29歲,3187,2618,1478,1294,58,51,1.0,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區A,都會型服務區（虛構）,HPV檢測_35歲45歲65歲,4832,4007,2277,1980,198,174,1.1,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區B,近郊型服務區（虛構）,肺癌_擴大資格,6579,4677,2425,2108,169,139,1.5,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區B,近郊型服務區（虛構）,大腸癌_45至49歲,4318,3104,1621,1400,84,69,1.6,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區B,近郊型服務區（虛構）,大腸癌_40至44歲家族史,1439,1045,551,472,31,25,1.7,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區B,近郊型服務區（虛構）,乳癌_擴大年齡,4934,3625,1923,1638,115,94,1.7,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區B,近郊型服務區（虛構）,子宮頸抹片_25至29歲,2673,1984,1061,897,40,33,1.8,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區B,近郊型服務區（虛構）,HPV檢測_35歲45歲65歲,4112,3086,1662,1396,140,115,1.9,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區C,鄉鎮型服務區（虛構）,肺癌_擴大資格,6065,3833,1834,1522,122,93,3.2,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區C,鄉鎮型服務區（虛構）,大腸癌_45至49歲,3906,2499,1206,994,60,46,3.3,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區C,鄉鎮型服務區（虛構）,大腸癌_40至44歲家族史,1234,799,389,318,21,16,3.4,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區C,鄉鎮型服務區（虛構）,乳癌_擴大年齡,4523,2966,1455,1182,83,63,3.4,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區C,鄉鎮型服務區（虛構）,子宮頸抹片_25至29歲,2467,1637,810,653,29,22,3.5,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區C,鄉鎮型服務區（虛構）,HPV檢測_35歲45歲65歲,3598,2416,1204,964,96,73,3.6,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區D,離島型服務區（虛構）,肺癌_擴大資格,6374,3524,1581,1250,100,70,6.0,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區D,離島型服務區（虛構）,大腸癌_45至49歲,4009,2248,1018,799,48,34,6.1,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區D,離島型服務區（虛構）,大腸癌_40至44歲家族史,1336,760,347,270,18,13,6.2,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區D,離島型服務區（虛構）,乳癌_擴大年齡,4626,2667,1229,949,66,46,6.2,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區D,離島型服務區（虛構）,子宮頸抹片_25至29歲,2570,1502,698,535,24,17,6.3,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-05,示範區D,離島型服務區（虛構）,HPV檢測_35歲45歲65歲,4009,2375,1113,847,85,59,6.4,資格估計數含待去重紀錄；不得與v2混用,v1
教學合成資料,2026-07-12,示範區A,都會型服務區（虛構）,肺癌_擴大資格,7200,5760,3168,2883,231,203,0.7,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區A,都會型服務區（虛構）,大腸癌_45至49歲,4800,3878,2148,1942,117,103,0.8,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區A,都會型服務區（虛構）,大腸癌_40至44歲家族史,1600,1306,729,655,43,38,0.9,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區A,都會型服務區（虛構）,乳癌_擴大年齡,5500,4532,2547,2272,159,140,0.9,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區A,都會型服務區（虛構）,子宮頸抹片_25至29歲,3100,2579,1460,1294,58,51,1.0,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區A,都會型服務區（虛構）,HPV檢測_35歲45歲65歲,4700,3948,2250,1980,198,174,1.1,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區B,近郊型服務區（虛構）,肺癌_擴大資格,6400,4608,2396,2108,169,139,1.5,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區B,近郊型服務區（虛構）,大腸癌_45至49歲,4200,3058,1602,1400,84,69,1.6,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
