data_status,month,region_code,screening_person_times,estimated_unique_people,capacity_slots,cancellations_n,duplicate_service_pct,data_cutoff,limitation
教學合成資料,2026-01,示範區A,3280,3050,3800,180,7.0,2026-06-30,不重複人數為估計值
教學合成資料,2026-02,示範區A,3500,3240,4000,170,7.4,2026-06-30,不重複人數為估計值
教學合成資料,2026-03,示範區A,3690,3400,4200,165,7.9,2026-06-30,不重複人數為估計值
教學合成資料,2026-04,示範區A,3850,3560,4300,155,7.5,2026-06-30,不重複人數為估計值
教學合成資料,2026-05,示範區A,4020,3700,4450,148,8.0,2026-06-30,不重複人數為估計值
教學合成資料,2026-06,示範區A,4150,3810,4600,150,8.2,2026-06-30,不重複人數為估計值
教學合成資料,2026-01,示範區B,2600,2450,3200,190,5.8,2026-06-30,不重複人數為估計值
教學合成資料,2026-02,示範區B,2780,2600,3350,185,6.5,2026-06-30,不重複人數為估計值
教學合成資料,2026-03,示範區B,2960,2760,3500,176,6.8,2026-06-30,不重複人數為估計值
教學合成資料,2026-04,示範區B,3120,2900,3650,168,7.1,2026-06-30,不重複人數為估計值
教學合成資料,2026-05,示範區B,3260,3020,3780,162,7.4,2026-06-30,不重複人數為估計值
教學合成資料,2026-06,示範區B,3400,3160,3900,158,7.1,2026-06-30,不重複人數為估計值
教學合成資料,2026-01,示範區C,1800,1710,2500,205,5.0,2026-06-30,不重複人數為估計值
教學合成資料,2026-02,示範區C,1940,1830,2600,198,5.7,2026-06-30,不重複人數為估計值
教學合成資料,2026-03,示範區C,2080,1950,2700,192,6.3,2026-06-30,不重複人數為估計值
教學合成資料,2026-04,示範區C,2210,2060,2800,186,6.8,2026-06-30,不重複人數為估計值
教學合成資料,2026-05,示範區C,2370,2200,2900,180,7.2,2026-06-30,不重複人數為估計值
教學合成資料,2026-06,示範區C,2500,2320,3000,177,7.2,2026-06-30,不重複人數為估計值
教學合成資料,2026-01,示範區D,1500,1430,2200,220,4.7,2026-06-30,不重複人數為估計值
教學合成資料,2026-02,示範區D,1630,1540,2300,216,5.5,2026-06-30,不重複人數為估計值
教學合成資料,2026-03,示範區D,1770,1660,2400,210,6.2,2026-06-30,不重複人數為估計值
教學合成資料,2026-04,示範區D,1900,1770,2500,204,6.8,2026-06-30,不重複人數為估計值
教學合成資料,2026-05,示範區D,2050,1900,2600,198,7.3,2026-06-30,不重複人數為估計值
教學合成資料,2026-06,示範區D,2200,2030,2700,194,7.7,2026-06-30,不重複人數為估計值

