data_status,site_code,region_code,period,eligible_n,outreach_n,booked_n,completed_n,completion_rate_pct,concurrent_activity,comparison_group_flag,limitation
教學合成資料,A01,示範區A,試辦前3個月,700,455,190,161,23.0,例行宣導,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,A01,示範區A,試辦後3個月,700,546,239,210,30.0,例行宣導,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,A02,示範區A,試辦前3個月,850,553,240,204,24.0,無另行紀錄,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,A02,示範區A,試辦後3個月,850,663,309,272,32.0,無另行紀錄,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,B01,示範區B,試辦前3個月,1000,650,294,250,25.0,例行宣導,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,B01,示範區B,試辦後3個月,1000,780,364,320,32.0,例行宣導,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,B02,示範區B,試辦前3個月,1100,715,336,286,26.0,社區活動增加,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,B02,示範區B,試辦後3個月,1100,858,400,352,32.0,社區活動增加,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,C01,示範區C,試辦前3個月,1250,788,382,325,26.0,巡迴服務調整,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,C01,示範區C,試辦後3個月,1250,963,469,413,33.0,巡迴服務調整,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,C02,示範區C,試辦前3個月,1400,882,445,378,27.0,無另行紀錄,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,C02,示範區C,試辦後3個月,1400,1078,541,476,34.0,無另行紀錄,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,D01,示範區D,試辦前3個月,1700,1054,540,459,27.0,交通班次變動,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,D01,示範區D,試辦後3個月,1700,1292,657,578,34.0,交通班次變動,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,D02,示範區D,試辦前3個月,2000,1220,608,517,25.9,例行宣導,否（無對照組）,前後期觀察不可宣稱因果
教學合成資料,D02,示範區D,試辦後3個月,2000,1500,760,669,33.5,例行宣導,否（無對照組）,前後期觀察不可宣稱因果

