data_status,question_id,response_option,n,pct,denominator_n,multi_select_flag,weighting,limitation
教學合成資料,Q01_整體服務經驗,非常滿意,227,51.8,438,否,未加權,聯繫1200人完成438份；回覆率36.5%；僅代表回覆者
教學合成資料,Q01_整體服務經驗,滿意,132,30.1,438,否,未加權,聯繫1200人完成438份；回覆率36.5%；僅代表回覆者
教學合成資料,Q01_整體服務經驗,普通,61,13.9,438,否,未加權,聯繫1200人完成438份；回覆率36.5%；僅代表回覆者
教學合成資料,Q01_整體服務經驗,不滿意,18,4.1,438,否,未加權,聯繫1200人完成438份；回覆率36.5%；僅代表回覆者
教學合成資料,Q02_尚未完成的考量,時段不方便,160,36.5,438,是,未加權,多選題百分比可逾100%；僅代表回覆者
教學合成資料,Q02_尚未完成的考量,交通或距離,128,29.2,438,是,未加權,多選題百分比可逾100%；僅代表回覆者
教學合成資料,Q02_尚未完成的考量,不清楚自己是否符合資格,112,25.6,438,是,未加權,多選題百分比可逾100%；僅代表回覆者
教學合成資料,Q02_尚未完成的考量,預約流程不熟悉,94,21.5,438,是,未加權,多選題百分比可逾100%；僅代表回覆者
教學合成資料,Q02_尚未完成的考量,目前沒有需要,78,17.8,438,是,未加權,多選題百分比可逾100%；僅代表回覆者
教學合成資料,Q03_偏好聯繫方式,簡訊,164,37.4,438,否,未加權,僅代表回覆者
教學合成資料,Q03_偏好聯繫方式,電話,118,26.9,438,否,未加權,僅代表回覆者
教學合成資料,Q03_偏好聯繫方式,通訊軟體官方帳號,96,21.9,438,否,未加權,僅代表回覆者
教學合成資料,Q03_偏好聯繫方式,紙本通知,60,13.7,438,否,未加權,僅代表回覆者
教學合成資料,Q04_是否需要協助預約,需要,210,47.9,438,否,未加權,意向不等於實際使用
教學合成資料,Q04_是否需要協助預約,不需要,178,40.6,438,否,未加權,意向不等於實際使用
教學合成資料,Q04_是否需要協助預約,尚未決定,50,11.4,438,否,未加權,意向不等於實際使用

